,date,capacity,turnover,open,high,low,close,change,transaction
83,2010/5/10,1608543,226689744,143,143.5,139,140,-4,1163
84,2010/5/11,2593656,359581872,142,142,137,137,-3,1435
85,2010/5/12,2712994,385112659,137.5,144,137.5,140,3,1497
86,2010/5/13,2176101,303870084,142,142,138,140,0,1330
87,2010/5/14,1348920,187706380,138.5,140.5,138.5,139,-1,873
88,2010/5/17,1134308,156175850,137.5,139,136,137,-2,777
89,2010/5/18,574392,79208204,138,139,137,138,1,505
90,2010/5/19,1797013,251246833,136,141.5,136,141,3,1064
91,2010/5/20,1505752,208662272,141,141,136,136,-5,863
92,2010/5/21,2095323,279832959,133.5,136,131,134,-2,837
93,2010/5/24,580544,78620940,135,136.5,134,135,1,431
94,2010/5/25,1438689,191793291,132,134.5,132,133.5,-1.5,881
95,2010/5/26,3547616,479462892,133,137.5,132,137.5,4,1806
96,2010/5/27,1283978,175670986,137.5,139,134.5,137,-0.5,806
97,2010/5/28,1816937,248940495,140,141.5,134,135,-2,1222
98,2010/5/31,813727,110038645,136,136,134,135.5,0.5,491
99,2010/6/1,790060,105268480,135,136,132,132,-3.5,577
100,2010/6/2,1241677,160317010,131.5,133,126,126.5,-5.5,887
101,2010/6/3,1355395,176252745,129,132.5,128,132,5.5,872
102,2010/6/4,643490,85585180,132,135,131.5,133,1,434
103,2010/6/7,875737,111927202,130,130,126,127,-6,565
104,2010/6/8,1326406,171101167,127,131.5,127,128.5,1.5,882
105,2010/6/9,1448345,190376695,128.5,133.5,127.5,131.5,3,1004
106,2010/6/10,1104169,148083484,134.5,136,131.5,136,4.5,695
107,2010/6/11,1057228,145024120,138,138,136,136.5,0.5,610
108,2010/6/14,455683,61909571,137,138,134,136,-0.5,386
109,2010/6/15,629735,85958225,135,138,135,135,-1,493
110,2010/6/17,533117,73161584,135.5,138.5,135.5,138,3,433
111,2010/6/18,548157,75806823,139,139,137.5,137.5,-0.5,395
112,2010/6/21,1139456,158794972,139,140.5,138,138,0.5,799
113,2010/6/22,2196946,308304494,142,142,138,138,0,856
114,2010/6/23,1253489,173457004,138,140,136.5,137,-1,487
115,2010/6/24,742252,100864768,137,138,134.5,134.5,-2.5,612
116,2010/6/25,430476,57677308,133.5,135,133,134,-0.5,334
117,2010/6/28,1321154,183689671,135,141,134,138.5,4.5,726
118,2010/6/29,1014503,138932656,139,140,134.5,134.5,-4,694
119,2010/6/30,1176381,154682981,130.5,133,130.5,131.5,-3,761
120,2010/7/1,692371,90218230,130.5,131.5,129.5,129.5,-2,458
121,2010/7/2,1722082,229000324,132,135,130.5,132,2.5,637
122,2010/7/5,1019497,133989104,132.5,133,130,131.5,-0.5,597
123,2010/7/6,1404300,187913200,131.5,135,131.5,134,2.5,470
124,2010/7/7,4218290,588158100,134.5,143,133.5,141,7,1914
125,2010/7/8,4014763,571247109,141.5,144,140,144,3,1637
